,Close
,F
Date,
2024-01-02,12.15999984741211
2024-01-03,11.710000038146973
2024-01-04,11.680000305175781
2024-01-05,11.850000381469727
2024-01-08,11.970000267028809
2024-01-09,11.84000015258789
2024-01-10,11.829999923706055
2024-01-11,11.710000038146973
2024-01-12,11.460000038146973
2024-01-16,11.460000038146973
2024-01-17,11.270000457763672
2024-01-18,10.989999771118164
2024-01-19,11.199999809265137
2024-01-22,11.199999809265137
2024-01-23,11.369999885559082
2024-01-24,11.029999732971191
2024-01-25,11.34000015258789
2024-01-26,11.390000343322754
2024-01-29,11.550000190734863
2024-01-30,11.779999732971191
2024-01-31,11.720000267028809
2024-02-01,12.100000381469727
2024-02-02,12.140000343322754
2024-02-05,11.59000015258789
2024-02-06,12.069999694824219
2024-02-07,12.800000190734863
2024-02-08,12.829999923706055
2024-02-09,12.680000305175781
2024-02-12,12.979999542236328
2024-02-13,12.680000305175781
2024-02-14,12.5600004196167
2024-02-15,12.520000457763672
2024-02-16,12.300000190734863
2024-02-20,12.25
2024-02-21,12.140000343322754
2024-02-22,12.119999885559082
2024-02-23,12.140000343322754
2024-02-26,11.949999809265137
2024-02-27,12.0
2024-02-28,12.300000190734863
2024-02-29,12.4399995803833
2024-03-01,12.449999809265137
2024-03-04,12.739999771118164
2024-03-05,12.579999923706055
2024-03-06,12.380000114440918
2024-03-07,12.40999984741211
2024-03-08,12.180000305175781
2024-03-11,12.109999656677246
2024-03-12,12.109999656677246
2024-03-13,12.369999885559082
2024-03-14,12.079999923706055
2024-03-15,12.0600004196167
2024-03-18,12.180000305175781
2024-03-19,12.300000190734863
2024-03-20,12.899999618530273
2024-03-21,12.920000076293945
2024-03-22,12.90999984741211
2024-03-25,12.899999618530273
2024-03-26,12.4399995803833
2024-03-27,13.0600004196167
2024-03-28,13.279999732971191
2024-04-01,13.289999961853027
2024-04-02,13.279999732971191
2024-04-03,13.649999618530273
2024-04-04,13.210000038146973
2024-04-05,13.279999732971191
2024-04-08,13.40999984741211
2024-04-09,13.539999961853027
2024-04-10,13.0600004196167
2024-04-11,13.039999961853027
2024-04-12,12.609999656677246
2024-04-15,12.229999542236328
2024-04-16,12.09000015258789
2024-04-17,12.039999961853027
2024-04-18,12.0600004196167
2024-04-19,12.140000343322754
2024-04-22,12.880000114440918
2024-04-23,12.9399995803833
2024-04-24,12.949999809265137
2024-04-25,13.039999961853027
2024-04-26,12.789999961853027
2024-04-29,12.75
2024-04-30,12.149999618530273
2024-05-01,12.199999809265137
2024-05-02,12.489999771118164
2024-05-03,12.430000305175781
2024-05-06,12.5
2024-05-07,12.170000076293945
2024-05-08,12.149999618530273
2024-05-09,12.130000114440918
2024-05-10,11.989999771118164
2024-05-13,12.329999923706055
2024-05-14,12.4399995803833
2024-05-15,12.3100004196167
2024-05-16,12.380000114440918
2024-05-17,12.279999732971191
2024-05-20,12.149999618530273
2024-05-21,12.149999618530273
2024-05-22,12.029999732971191
2024-05-23,12.109999656677246
2024-05-24,12.15999984741211
2024-05-28,11.680000305175781
2024-05-29,11.5600004196167
2024-05-30,11.770000457763672
2024-05-31,12.130000114440918
2024-06-03,12.1899995803833
2024-06-04,12.029999732971191
2024-06-05,12.069999694824219
2024-06-06,12.069999694824219
2024-06-07,12.149999618530273
2024-06-10,12.380000114440918
2024-06-11,12.109999656677246
2024-06-12,12.079999923706055
2024-06-13,11.9399995803833
2024-06-14,11.710000038146973
2024-06-17,11.850000381469727
2024-06-18,11.779999732971191
2024-06-20,11.9399995803833
2024-06-21,11.84000015258789
2024-06-24,12.229999542236328
2024-06-25,12.09000015258789
2024-06-26,12.109999656677246
2024-06-27,12.229999542236328
2024-06-28,12.539999961853027
2024-07-01,12.760000228881836
2024-07-02,12.869999885559082
